JBlk		Description
1377:		not active write to sector: 2115808
1378:		not active write to sector: 2115808
1378(+3072):	not active write to sector: 1925936
1379:		not active write to sector: 1925936
1380:		not active write to sector: 1925936
1380(+3072):	not active write to sector: 2207488
1381:		not active write to sector: 2207488
1382:		not active write to sector: 2207488
1382(+3072):	not active write to sector: 2109840
1383:		not active write to sector: 2109840
1384:		not active write to sector: 2109840
1384(+3072):	not active write to sector: 1926544
1385:		not active write to sector: 1926544
1386:		not active write to sector: 1926544
1386(+3072):	not active write to sector: 1925296
1387:		not active write to sector: 1925296
1388:		not active write to sector: 1925296
1388(+3072):	not active write to sector: 1997824
1389:		not active write to sector: 1997824
1390:		not active write to sector: 1997824
1390(+3072):	not active write to sector: 2203040
1391:		not active write to sector: 2203040
1392:		not active write to sector: 2203040
1392(+3072):	not active write to sector: 2078640
1393:		not active write to sector: 2078640
1394:		not active write to sector: 2078640
1394(+3072):	not active write to sector: 2138016
1395:		not active write to sector: 2138016
1396:		not active write to sector: 2138016
1396(+3072):	not active write to sector: 1923600
1397:		not active write to sector: 1923600
1398:		not active write to sector: 1923600
1398(+3072):	not active write to sector: 2205248
1399:		not active write to sector: 2205248
1400:		not active write to sector: 2205248
1400(+3072):	not active write to sector: 1942624
1401:		not active write to sector: 1942624
1402:		not active write to sector: 1942624
1402(+3072):	not active write to sector: 1924688
1403:		not active write to sector: 1924688
1404:		not active write to sector: 1924688
1404(+3072):	not active write to sector: 1997888
1405:		not active write to sector: 1997888
1406:		not active write to sector: 1997888
1406(+3072):	not active write to sector: 1928992
1407:		not active write to sector: 1928992
1408:		not active write to sector: 1928992
1408(+3072):	not active write to sector: 1924784
1409:		not active write to sector: 1924784
1410:		not active write to sector: 1924784
1410(+3072):	not active write to sector: 2205280
1411:		not active write to sector: 2205280
1412:		not active write to sector: 2205280
1412(+3072):	not active write to sector: 1929024
1413:		not active write to sector: 1929024
1414:		not active write to sector: 1929024
1414(+3072):	not active Journal Block Header (Transaction: 19 )
1415:		not active Journal Block Header (Transaction: 19 )
1416:		not active Journal Block Header (Transaction: 19 )
1417:		not active Journal Block Header (Transaction: 19 )
1418:		not active Journal Block Header (Transaction: 19 )
1419:		not active Journal Block Header (Transaction: 19 )
1420:		not active Journal Block Header (Transaction: 19 )
1421:		not active Journal Block Header (Transaction: 19 )
1422:		not active Journal Block Header (Transaction: 19 )
1422(+3072):	not active write to sector: 2205136
1423:		not active write to sector: 2205136
1424:		not active write to sector: 2205136
1424(+3072):	not active write to sector: 2
1424(+3584):	not active write to sector: 2203104
1425:		not active write to sector: 2203104
1426:		not active write to sector: 2203104
1426(+3584):	not active write to sector: 2109840
1427:		not active write to sector: 2109840
1428:		not active write to sector: 2109840
1428(+3584):	not active Journal Block Header (Transaction: 20 )
1429:		not active Journal Block Header (Transaction: 20 )
1430:		not active Journal Block Header (Transaction: 20 )
1431:		not active Journal Block Header (Transaction: 20 )
1432:		not active Journal Block Header (Transaction: 20 )
1433:		not active Journal Block Header (Transaction: 20 )
1434:		not active Journal Block Header (Transaction: 20 )
1435:		not active Journal Block Header (Transaction: 20 )
1436:		not active Journal Block Header (Transaction: 20 )
1436(+3584):	not active write to sector: 2203104
1437:		not active write to sector: 2203104
1438:		not active write to sector: 2203104
1438(+3584):	not active write to sector: 2
1439:		not active write to sector: 648
1440:		not active write to sector: 2109840
1441:		not active write to sector: 2109840
1442:		not active Journal Block Header (Transaction: 21 )
1443:		not active Journal Block Header (Transaction: 21 )
1444:		not active Journal Block Header (Transaction: 21 )
1445:		not active Journal Block Header (Transaction: 21 )
1446:		not active Journal Block Header (Transaction: 21 )
1447:		not active Journal Block Header (Transaction: 21 )
1448:		not active Journal Block Header (Transaction: 21 )
1449:		not active Journal Block Header (Transaction: 21 )
1450:		not active write to sector: 2203152
1451:		not active write to sector: 2203152
1452:		not active write to sector: 2
1452(+512):	not active write to sector: 648
1453:		not active write to sector: 648
1453(+512):	not active write to sector: 18888
1454:		not active write to sector: 18888
1454(+512):	not active write to sector: 2203104
1455:		not active write to sector: 2203104
1456:		not active write to sector: 2203104
1456(+512):	not active write to sector: 2109840
1457:		not active write to sector: 2109840
1458:		not active write to sector: 2109840
1458(+512):	not active Journal Block Header (Transaction: 22 )
1459:		not active Journal Block Header (Transaction: 22 )
1460:		not active Journal Block Header (Transaction: 22 )
1461:		not active Journal Block Header (Transaction: 22 )
1462:		not active Journal Block Header (Transaction: 22 )
1463:		not active Journal Block Header (Transaction: 22 )
1464:		not active Journal Block Header (Transaction: 22 )
1465:		not active Journal Block Header (Transaction: 22 )
1466:		not active Journal Block Header (Transaction: 22 )
1466(+512):	not active write to sector: 1929312
1467:		not active write to sector: 1929312
1468:		not active write to sector: 1929312
1468(+512):	not active write to sector: 2203104
1469:		not active write to sector: 2203104
1470:		not active write to sector: 2203104
1470(+512):	not active write to sector: 2109840
1471:		not active write to sector: 2109840
1472:		not active write to sector: 2109840
1472(+512):	not active write to sector: 2
1472(+1024):	not active Journal Block Header (Transaction: 23 )
1473:		not active Journal Block Header (Transaction: 23 )
1474:		not active Journal Block Header (Transaction: 23 )
1475:		not active Journal Block Header (Transaction: 23 )
1476:		not active Journal Block Header (Transaction: 23 )
1477:		not active Journal Block Header (Transaction: 23 )
1478:		not active Journal Block Header (Transaction: 23 )
1479:		not active Journal Block Header (Transaction: 23 )
1480:		not active Journal Block Header (Transaction: 23 )
1480(+1024):	not active write to sector: 2203104
1481:		not active write to sector: 2203104
1482:		not active write to sector: 2203104
1482(+1024):	not active write to sector: 2
1482(+1536):	not active write to sector: 2162416
1483:		not active write to sector: 2162416
1484:		not active write to sector: 2162416
1484(+1536):	not active write to sector: 648
1485:		not active write to sector: 648
1485(+1536):	not active write to sector: 18888
1486:		not active write to sector: 18888
1486(+1536):	not active write to sector: 18880
1487:		not active write to sector: 18880
1487(+1536):	not active write to sector: 2203264
1488:		not active write to sector: 2203264
1489:		not active write to sector: 2203264
1489(+1536):	not active write to sector: 2109840
1490:		not active write to sector: 2109840
1491:		not active write to sector: 2109840
1491(+1536):	not active write to sector: 2207488
1492:		not active write to sector: 2207488
1493:		not active write to sector: 2207488
1493(+1536):	not active write to sector: 2162688
1494:		not active write to sector: 2162688
1495:		not active write to sector: 2162688
1495(+1536):	not active write to sector: 2205248
1496:		not active write to sector: 2205248
1497:		not active write to sector: 2205248
1497(+1536):	not active Journal Block Header (Transaction: 24 )
1498:		not active Journal Block Header (Transaction: 24 )
1499:		not active Journal Block Header (Transaction: 24 )
1500:		not active Journal Block Header (Transaction: 24 )
1501:		not active Journal Block Header (Transaction: 24 )
1502:		not active Journal Block Header (Transaction: 24 )
1503:		not active Journal Block Header (Transaction: 24 )
1504:		not active Journal Block Header (Transaction: 24 )
1505:		not active Journal Block Header (Transaction: 24 )
1505(+1536):	not active write to sector: 2203104
1506:		not active write to sector: 2203104
1507:		not active write to sector: 2203104
1507(+1536):	not active write to sector: 2
1507(+2048):	not active write to sector: 648
1508:		not active write to sector: 648
1508(+2048):	not active write to sector: 18888
1509:		not active write to sector: 18888
1509(+2048):	not active write to sector: 2109840
1510:		not active write to sector: 2109840
1511:		not active write to sector: 2109840
1511(+2048):	not active Journal Block Header (Transaction: 25 )
1512:		not active Journal Block Header (Transaction: 25 )
1513:		not active Journal Block Header (Transaction: 25 )
1514:		not active Journal Block Header (Transaction: 25 )
1515:		not active Journal Block Header (Transaction: 25 )
1516:		not active Journal Block Header (Transaction: 25 )
1517:		not active Journal Block Header (Transaction: 25 )
1518:		not active Journal Block Header (Transaction: 25 )
1519:		not active Journal Block Header (Transaction: 25 )
1519(+2048):	not active write to sector: 2203104
1520:		not active write to sector: 2203104
1521:		not active write to sector: 2203104
1521(+2048):	not active write to sector: 2109840
1522:		not active write to sector: 2109840
1523:		not active write to sector: 2109840
1523(+2048):	not active write to sector: 2
1523(+2560):	not active Journal Block Header (Transaction: 26 )
1524:		not active Journal Block Header (Transaction: 26 )
1525:		not active Journal Block Header (Transaction: 26 )
1526:		not active Journal Block Header (Transaction: 26 )
1527:		not active Journal Block Header (Transaction: 26 )
1528:		not active Journal Block Header (Transaction: 26 )
1529:		not active Journal Block Header (Transaction: 26 )
1530:		not active Journal Block Header (Transaction: 26 )
1531:		not active Journal Block Header (Transaction: 26 )
1531(+2560):	not active write to sector: 2203104
1532:		not active write to sector: 2203104
1533:		not active write to sector: 2203104
1533(+2560):	not active write to sector: 2109840
1534:		not active write to sector: 2109840
1535:		not active write to sector: 2109840
1535(+2560):	not active write to sector: 2
1535(+3072):	not active Journal Block Header (Transaction: 27 )
1536:		not active Journal Block Header (Transaction: 27 )
1537:		not active Journal Block Header (Transaction: 27 )
1538:		not active Journal Block Header (Transaction: 27 )
1539:		not active Journal Block Header (Transaction: 27 )
1540:		not active Journal Block Header (Transaction: 27 )
1541:		not active Journal Block Header (Transaction: 27 )
1542:		not active Journal Block Header (Transaction: 27 )
1543:		not active Journal Block Header (Transaction: 27 )
1543(+3072):	not active write to sector: 2203104
1544:		not active write to sector: 2203104
1545:		not active write to sector: 2203104
1545(+3072):	not active write to sector: 2
1545(+3584):	not active write to sector: 2109840
1546:		not active write to sector: 2109840
1547:		not active write to sector: 2109840
1547(+3584):	not active write to sector: 648
1548:		not active write to sector: 648
1548(+3584):	not active write to sector: 18888
1549:		not active write to sector: 18888
1549(+3584):	not active Journal Block Header (Transaction: 28 )
1550:		not active Journal Block Header (Transaction: 28 )
1551:		not active Journal Block Header (Transaction: 28 )
1552:		not active Journal Block Header (Transaction: 28 )
1553:		not active Journal Block Header (Transaction: 28 )
1554:		not active Journal Block Header (Transaction: 28 )
1555:		not active Journal Block Header (Transaction: 28 )
1556:		not active Journal Block Header (Transaction: 28 )
1557:		not active Journal Block Header (Transaction: 28 )
1557(+3584):	not active write to sector: 2203152
1558:		not active write to sector: 2203152
1559:		not active write to sector: 2203152
1559(+3584):	not active write to sector: 2
1560:		not active write to sector: 648
1561:		not active write to sector: 18888
1562:		not active write to sector: 2203264
1563:		not active write to sector: 2203264
1564:		not active write to sector: 2205248
1565:		not active write to sector: 2205248
1566:		not active write to sector: 2205152
1567:		not active write to sector: 2205152
1568:		not active write to sector: 2203104
1569:		not active write to sector: 2203104
1570:		not active write to sector: 2109840
1571:		not active write to sector: 2109840
1572:		not active Journal Block Header (Transaction: 29 )
1573:		not active Journal Block Header (Transaction: 29 )
1574:		not active Journal Block Header (Transaction: 29 )
1575:		not active Journal Block Header (Transaction: 29 )
1576:		not active Journal Block Header (Transaction: 29 )
1577:		not active Journal Block Header (Transaction: 29 )
1578:		not active Journal Block Header (Transaction: 29 )
1579:		not active Journal Block Header (Transaction: 29 )
1580:		not active write to sector: 2203104
1581:		not active write to sector: 2203104
1582:		not active write to sector: 2
1582(+512):	not active write to sector: 648
1583:		not active write to sector: 648
1583(+512):	not active write to sector: 18888
1584:		not active write to sector: 18888
1584(+512):	not active write to sector: 2109840
1585:		not active write to sector: 2109840
1586:		not active write to sector: 2109840
1586(+512):	not active Journal Block Header (Transaction: 30 )
1587:		not active Journal Block Header (Transaction: 30 )
1588:		not active Journal Block Header (Transaction: 30 )
1589:		not active Journal Block Header (Transaction: 30 )
1590:		not active Journal Block Header (Transaction: 30 )
1591:		not active Journal Block Header (Transaction: 30 )
1592:		not active Journal Block Header (Transaction: 30 )
1593:		not active Journal Block Header (Transaction: 30 )
1594:		not active Journal Block Header (Transaction: 30 )
1594(+512):	not active write to sector: 2203104
1595:		not active write to sector: 2203104
1596:		not active write to sector: 2203104
1596(+512):	not active write to sector: 2109840
1597:		not active write to sector: 2109840
1598:		not active write to sector: 2109840
1598(+512):	not active write to sector: 2
1598(+1024):	not active Journal Block Header (Transaction: 31 )
1599:		not active Journal Block Header (Transaction: 31 )
1600:		not active Journal Block Header (Transaction: 31 )
1601:		not active Journal Block Header (Transaction: 31 )
1602:		not active Journal Block Header (Transaction: 31 )
1603:		not active Journal Block Header (Transaction: 31 )
1604:		not active Journal Block Header (Transaction: 31 )
1605:		not active Journal Block Header (Transaction: 31 )
1606:		not active Journal Block Header (Transaction: 31 )
1606(+1024):	not active write to sector: 2203104
1607:		not active write to sector: 2203104
1608:		not active write to sector: 2203104
1608(+1024):	not active write to sector: 2
1608(+1536):	not active write to sector: 648
1609:		not active write to sector: 648
1609(+1536):	not active write to sector: 18888
1610:		not active write to sector: 18888
1610(+1536):	not active write to sector: 2109840
1611:		not active write to sector: 2109840
1612:		not active write to sector: 2109840
1612(+1536):	not active Journal Block Header (Transaction: 32 )
1613:		not active Journal Block Header (Transaction: 32 )
1614:		not active Journal Block Header (Transaction: 32 )
1615:		not active Journal Block Header (Transaction: 32 )
1616:		not active Journal Block Header (Transaction: 32 )
1617:		not active Journal Block Header (Transaction: 32 )
1618:		not active Journal Block Header (Transaction: 32 )
1619:		not active Journal Block Header (Transaction: 32 )
1620:		not active Journal Block Header (Transaction: 32 )
1620(+1536):	not active write to sector: 2205152
1621:		not active write to sector: 2205152
1622:		not active write to sector: 2205152
1622(+1536):	not active write to sector: 2
1622(+2048):	not active write to sector: 648
1623:		not active write to sector: 648
1623(+2048):	not active write to sector: 1923536
1624:		not active write to sector: 1923536
1625:		not active write to sector: 1923536
1625(+2048):	not active write to sector: 1923520
1626:		not active write to sector: 1923520
1627:		not active write to sector: 1923520
1627(+2048):	not active write to sector: 1938336
1628:		not active write to sector: 1938336
1629:		not active write to sector: 1938336
1629(+2048):	not active write to sector: 2203264
1630:		not active write to sector: 2203264
1631:		not active write to sector: 2203264
1631(+2048):	not active write to sector: 2203104
1632:		not active write to sector: 2203104
1633:		not active write to sector: 2203104
1633(+2048):	not active write to sector: 2109840
1634:		not active write to sector: 2109840
1635:		not active write to sector: 2109840
1635(+2048):	not active Journal Block Header (Transaction: 33 )
1636:		not active Journal Block Header (Transaction: 33 )
1637:		not active Journal Block Header (Transaction: 33 )
1638:		not active Journal Block Header (Transaction: 33 )
1639:		not active Journal Block Header (Transaction: 33 )
1640:		not active Journal Block Header (Transaction: 33 )
1641:		not active Journal Block Header (Transaction: 33 )
1642:		not active Journal Block Header (Transaction: 33 )
1643:		not active Journal Block Header (Transaction: 33 )
1643(+2048):	not active write to sector: 2203104
1644:		not active write to sector: 2203104
1645:		not active write to sector: 2203104
1645(+2048):	not active write to sector: 2
1645(+2560):	not active write to sector: 2203744
1646:		not active write to sector: 2203744
1647:		not active write to sector: 2203744
1647(+2560):	not active write to sector: 648
1648:		not active write to sector: 648
1648(+2560):	not active write to sector: 2203712
1649:		not active write to sector: 2203712
1650:		not active write to sector: 2203712
1650(+2560):	not active Journal Block Header (Transaction: 34 )
1651:		not active Journal Block Header (Transaction: 34 )
1652:		not active Journal Block Header (Transaction: 34 )
1653:		not active Journal Block Header (Transaction: 34 )
1654:		not active Journal Block Header (Transaction: 34 )
1655:		not active Journal Block Header (Transaction: 34 )
1656:		not active Journal Block Header (Transaction: 34 )
1657:		not active Journal Block Header (Transaction: 34 )
1658:		not active Journal Block Header (Transaction: 34 )
1658(+2560):	not active write to sector: 2203744
1659:		not active write to sector: 2203744
1660:		not active write to sector: 2203744
1660(+2560):	not active write to sector: 2
1660(+3072):	not active Journal Block Header (Transaction: 35 )
1661:		not active Journal Block Header (Transaction: 35 )
1662:		not active Journal Block Header (Transaction: 35 )
1663:		not active Journal Block Header (Transaction: 35 )
1664:		not active Journal Block Header (Transaction: 35 )
1665:		not active Journal Block Header (Transaction: 35 )
1666:		not active Journal Block Header (Transaction: 35 )
1667:		not active Journal Block Header (Transaction: 35 )
1668:		not active Journal Block Header (Transaction: 35 )
1668(+3072):	not active write to sector: 648
1669:		not active write to sector: 648
1669(+3072):	not active write to sector: 2203712
1670:		not active write to sector: 2203712
1671:		not active write to sector: 2203712
1671(+3072):	not active write to sector: 2
1671(+3584):	not active write to sector: 18888
1672:		not active write to sector: 18888
1672(+3584):	not active write to sector: 2203104
1673:		not active write to sector: 2203104
1674:		not active write to sector: 2203104
1674(+3584):	not active write to sector: 2109840
1675:		not active write to sector: 2109840
1676:		not active write to sector: 2109840
1676(+3584):	not active Journal Block Header (Transaction: 36 )
1677:		not active Journal Block Header (Transaction: 36 )
1678:		not active Journal Block Header (Transaction: 36 )
1679:		not active Journal Block Header (Transaction: 36 )
1680:		not active Journal Block Header (Transaction: 36 )
1681:		not active Journal Block Header (Transaction: 36 )
1682:		not active Journal Block Header (Transaction: 36 )
1683:		not active Journal Block Header (Transaction: 36 )
1684:		not active Journal Block Header (Transaction: 36 )
1684(+3584):	not active write to sector: 2203104
1685:		not active write to sector: 2203104
1686:		not active write to sector: 2203104
1686(+3584):	not active write to sector: 2109840
1687:		not active write to sector: 2109840
1688:		not active write to sector: 2109840
1688(+3584):	not active write to sector: 2
1689:		not active Journal Block Header (Transaction: 37 )
1690:		not active Journal Block Header (Transaction: 37 )
1691:		not active Journal Block Header (Transaction: 37 )
1692:		not active Journal Block Header (Transaction: 37 )
1693:		not active Journal Block Header (Transaction: 37 )
1694:		not active Journal Block Header (Transaction: 37 )
1695:		not active Journal Block Header (Transaction: 37 )
1696:		not active Journal Block Header (Transaction: 37 )
1697:		not active write to sector: 2203104
1698:		not active write to sector: 2203104
1699:		not active write to sector: 2
1699(+512):	not active write to sector: 648
1700:		not active write to sector: 648
1700(+512):	not active write to sector: 18888
1701:		not active write to sector: 18888
1701(+512):	not active write to sector: 2109840
1702:		not active write to sector: 2109840
1703:		not active write to sector: 2109840
1703(+512):	not active Journal Block Header (Transaction: 38 )
1704:		not active Journal Block Header (Transaction: 38 )
1705:		not active Journal Block Header (Transaction: 38 )
1706:		not active Journal Block Header (Transaction: 38 )
1707:		not active Journal Block Header (Transaction: 38 )
1708:		not active Journal Block Header (Transaction: 38 )
1709:		not active Journal Block Header (Transaction: 38 )
1710:		not active Journal Block Header (Transaction: 38 )
1711:		not active Journal Block Header (Transaction: 38 )
1711(+512):	not active write to sector: 2207504
1712:		not active write to sector: 2207504
1713:		not active write to sector: 2207504
1713(+512):	not active write to sector: 1923536
1714:		not active write to sector: 1923536
1715:		not active write to sector: 1923536
1715(+512):	not active write to sector: 1958480
1716:		not active write to sector: 1958480
1717:		not active write to sector: 1958480
1717(+512):	not active write to sector: 1923520
1718:		not active write to sector: 1923520
1719:		not active write to sector: 1923520
1719(+512):	not active write to sector: 1973568
1720:		not active write to sector: 1973568
1721:		not active write to sector: 1973568
1721(+512):	not active write to sector: 2
1721(+1024):	not active write to sector: 31184
1722:		not active write to sector: 31184
1723:		not active write to sector: 31184
1723(+1024):	not active write to sector: 31168
1724:		not active write to sector: 31168
1725:		not active write to sector: 31168
1725(+1024):	not active write to sector: 648
1726:		not active write to sector: 648
1726(+1024):	not active write to sector: 2204976
1727:		not active write to sector: 2204976
1728:		not active write to sector: 2204976
1728(+1024):	not active write to sector: 2207472
1729:		not active write to sector: 2207472
1730:		not active write to sector: 2207472
1730(+1024):	not active write to sector: 2203440
1731:		not active write to sector: 2203440
1732:		not active write to sector: 2203440
1732(+1024):	not active write to sector: 2202976
1733:		not active write to sector: 2202976
1734:		not active write to sector: 2202976
1734(+1024):	not active write to sector: 2202960
1735:		not active write to sector: 2202960
1736:		not active write to sector: 2202960
1736(+1024):	not active write to sector: 1929312
1737:		not active write to sector: 1929312
1738:		not active write to sector: 1929312
1738(+1024):	not active Journal Block Header (Transaction: 39 )
1739:		not active Journal Block Header (Transaction: 39 )
1740:		not active Journal Block Header (Transaction: 39 )
1741:		not active Journal Block Header (Transaction: 39 )
1742:		not active Journal Block Header (Transaction: 39 )
1743:		not active Journal Block Header (Transaction: 39 )
1744:		not active Journal Block Header (Transaction: 39 )
1745:		not active Journal Block Header (Transaction: 39 )
1746:		not active Journal Block Header (Transaction: 39 )
1746(+1024):	not active write to sector: 648
1747:		not active write to sector: 648
1747(+1024):	not active write to sector: 2202960
1748:		not active write to sector: 2202960
1749:		not active write to sector: 2202960
1749(+1024):	not active write to sector: 2
1749(+1536):	not active write to sector: 2203024
1750:		not active write to sector: 2203024
1751:		not active write to sector: 2203024
1751(+1536):	not active Journal Block Header (Transaction: 40 )
1752:		not active Journal Block Header (Transaction: 40 )
1753:		not active Journal Block Header (Transaction: 40 )
1754:		not active Journal Block Header (Transaction: 40 )
1755:		not active Journal Block Header (Transaction: 40 )
1756:		not active Journal Block Header (Transaction: 40 )
1757:		not active Journal Block Header (Transaction: 40 )
1758:		not active Journal Block Header (Transaction: 40 )
1759:		not active Journal Block Header (Transaction: 40 )
1759(+1536):	not active write to sector: 1958480
1760:		not active write to sector: 1958480
1761:		not active write to sector: 1958480
1761(+1536):	not active write to sector: 2203152
1762:		not active write to sector: 2203152
1763:		not active write to sector: 2203152
1763(+1536):	not active write to sector: 2
1763(+2048):	not active write to sector: 648
1764:		not active write to sector: 648
1764(+2048):	not active write to sector: 18888
1765:		not active write to sector: 18888
1765(+2048):	not active write to sector: 18880
1766:		not active write to sector: 18880
1766(+2048):	not active write to sector: 1924848
1767:		not active write to sector: 1924848
1768:		not active write to sector: 1924848
1768(+2048):	not active write to sector: 1942720
1769:		not active write to sector: 1942720
1770:		not active write to sector: 1942720
1770(+2048):	not active write to sector: 1942896
1771:		not active write to sector: 1942896
1772:		not active write to sector: 1942896
1772(+2048):	not active write to sector: 2203104
1773:		not active write to sector: 2203104
1774:		not active write to sector: 2203104
1774(+2048):	not active write to sector: 2203440
1775:		not active write to sector: 2203440
1776:		not active write to sector: 2203440
1776(+2048):	not active write to sector: 2205152
1777:		not active write to sector: 2205152
1778:		not active write to sector: 2205152
1778(+2048):	not active write to sector: 2204784
1779:		not active write to sector: 2204784
1780:		not active write to sector: 2204784
1780(+2048):	not active write to sector: 2202976
1781:		not active write to sector: 2202976
1782:		not active write to sector: 2202976
1782(+2048):	not active write to sector: 2203264
1783:		not active write to sector: 2203264
1784:		not active write to sector: 2203264
1784(+2048):	not active write to sector: 2205248
1785:		not active write to sector: 2205248
1786:		not active write to sector: 2205248
1786(+2048):	not active write to sector: 2207504
1787:		not active write to sector: 2207504
1788:		not active write to sector: 2207504
1788(+2048):	not active write to sector: 2078640
1789:		not active write to sector: 2078640
1790:		not active write to sector: 2078640
1790(+2048):	not active write to sector: 2109840
1791:		not active write to sector: 2109840
1792:		not active write to sector: 2109840
1792(+2048):	not active write to sector: 1942624
1793:		not active write to sector: 1942624
1794:		not active write to sector: 1942624
1794(+2048):	not active write to sector: 2113168
1795:		not active write to sector: 2113168
1796:		not active write to sector: 2113168
1796(+2048):	not active Journal Block Header (Transaction: 41 )
1797:		not active Journal Block Header (Transaction: 41 )
1798:		not active Journal Block Header (Transaction: 41 )
1799:		not active Journal Block Header (Transaction: 41 )
1800:		not active Journal Block Header (Transaction: 41 )
1801:		not active Journal Block Header (Transaction: 41 )
1802:		not active Journal Block Header (Transaction: 41 )
1803:		not active Journal Block Header (Transaction: 41 )
1804:		not active Journal Block Header (Transaction: 41 )
1804(+2048):	not active write to sector: 2203104
1805:		not active write to sector: 2203104
1806:		not active write to sector: 2203104
1806(+2048):	not active write to sector: 2109840
1807:		not active write to sector: 2109840
1808:		not active write to sector: 2109840
1808(+2048):	not active write to sector: 2
1808(+2560):	not active Journal Block Header (Transaction: 42 )
1809:		not active Journal Block Header (Transaction: 42 )
1810:		not active Journal Block Header (Transaction: 42 )
1811:		not active Journal Block Header (Transaction: 42 )
1812:		not active Journal Block Header (Transaction: 42 )
1813:		not active Journal Block Header (Transaction: 42 )
1814:		not active Journal Block Header (Transaction: 42 )
1815:		not active Journal Block Header (Transaction: 42 )
1816:		not active Journal Block Header (Transaction: 42 )
1816(+2560):	not active write to sector: 648
1817:		not active write to sector: 648
1817(+2560):	not active write to sector: 2204976
1818:		not active write to sector: 2204976
1819:		not active write to sector: 2204976
1819(+2560):	not active write to sector: 2
1819(+3072):	not active write to sector: 31184
1820:		not active write to sector: 31184
1821:		not active write to sector: 31184
1821(+3072):	not active write to sector: 31168
1822:		not active write to sector: 31168
1823:		not active write to sector: 31168
1823(+3072):	not active write to sector: 1923536
1824:		not active write to sector: 1923536
1825:		not active write to sector: 1923536
1825(+3072):	not active write to sector: 1923520
1826:		not active write to sector: 1923520
1827:		not active write to sector: 1923520
1827(+3072):	not active write to sector: 2207472
1828:		not active write to sector: 2207472
1829:		not active write to sector: 2207472
1829(+3072):	not active write to sector: 2204960
1830:		not active write to sector: 2204960
1831:		not active write to sector: 2204960
1831(+3072):	not active write to sector: 2203264
1832:		not active write to sector: 2203264
1833:		not active write to sector: 2203264
1833(+3072):	not active write to sector: 2203104
1834:		not active write to sector: 2203104
1835:		not active write to sector: 2203104
1835(+3072):	not active write to sector: 18888
1836:		not active write to sector: 18888
1836(+3072):	not active write to sector: 2109840
1837:		not active write to sector: 2109840
1838:		not active write to sector: 2109840
1838(+3072):	not active Journal Block Header (Transaction: 43 )
1839:		not active Journal Block Header (Transaction: 43 )
1840:		not active Journal Block Header (Transaction: 43 )
1841:		not active Journal Block Header (Transaction: 43 )
1842:		not active Journal Block Header (Transaction: 43 )
1843:		not active Journal Block Header (Transaction: 43 )
1844:		not active Journal Block Header (Transaction: 43 )
1845:		not active Journal Block Header (Transaction: 43 )
1846:		not active Journal Block Header (Transaction: 43 )
1846(+3072):	not active write to sector: 2203104
1847:		not active write to sector: 2203104
1848:		not active write to sector: 2203104
1848(+3072):	not active write to sector: 2109840
1849:		not active write to sector: 2109840
1850:		not active write to sector: 2109840
1850(+3072):	not active write to sector: 2
1850(+3584):	not active Journal Block Header (Transaction: 44 )
1851:		not active Journal Block Header (Transaction: 44 )
1852:		not active Journal Block Header (Transaction: 44 )
1853:		not active Journal Block Header (Transaction: 44 )
1854:		not active Journal Block Header (Transaction: 44 )
1855:		not active Journal Block Header (Transaction: 44 )
1856:		not active Journal Block Header (Transaction: 44 )
1857:		not active Journal Block Header (Transaction: 44 )
1858:		not active Journal Block Header (Transaction: 44 )
1858(+3584):	not active write to sector: 2203104
1859:		not active write to sector: 2203104
1860:		not active write to sector: 2203104
1860(+3584):	not active write to sector: 2
1861:		not active write to sector: 648
1862:		not active write to sector: 18888
1863:		not active write to sector: 2109840
1864:		not active write to sector: 2109840
1865:		not active Journal Block Header (Transaction: 45 )
1866:		not active Journal Block Header (Transaction: 45 )
1867:		not active Journal Block Header (Transaction: 45 )
1868:		not active Journal Block Header (Transaction: 45 )
1869:		not active Journal Block Header (Transaction: 45 )
1870:		not active Journal Block Header (Transaction: 45 )
1871:		not active Journal Block Header (Transaction: 45 )
1872:		not active Journal Block Header (Transaction: 45 )
1873:		not active write to sector: 2203104
1874:		not active write to sector: 2203104
1875:		not active write to sector: 2109840
1876:		not active write to sector: 2109840
1877:		not active write to sector: 2
1877(+512):	not active Journal Block Header (Transaction: 46 )
1878:		not active Journal Block Header (Transaction: 46 )
1879:		not active Journal Block Header (Transaction: 46 )
1880:		not active Journal Block Header (Transaction: 46 )
1881:		not active Journal Block Header (Transaction: 46 )
1882:		not active Journal Block Header (Transaction: 46 )
1883:		not active Journal Block Header (Transaction: 46 )
1884:		not active Journal Block Header (Transaction: 46 )
1885:		not active Journal Block Header (Transaction: 46 )
1885(+512):	not active write to sector: 2203104
1886:		not active write to sector: 2203104
1887:		not active write to sector: 2203104
1887(+512):	not active write to sector: 2109840
1888:		not active write to sector: 2109840
1889:		not active write to sector: 2109840
1889(+512):	not active write to sector: 2
1889(+1024):	not active Journal Block Header (Transaction: 47 )
1890:		not active Journal Block Header (Transaction: 47 )
1891:		not active Journal Block Header (Transaction: 47 )
1892:		not active Journal Block Header (Transaction: 47 )
1893:		not active Journal Block Header (Transaction: 47 )
1894:		not active Journal Block Header (Transaction: 47 )
1895:		not active Journal Block Header (Transaction: 47 )
1896:		not active Journal Block Header (Transaction: 47 )
1897:		not active Journal Block Header (Transaction: 47 )
